persistence_length,num_fibers,noise_density,fov,curvature_min,curvature_max,filename,timestamp,simulation_id,repeat_id,status
17000,4,0.3,1000,0.0,0.005,network_repeat_99_comb_1.pt,2024-12-09 11:45:56,1,99,completed
,4,0.3,1000,0.0,0.005,network_repeat_100_comb_0.pt,2024-12-09 11:45:56,0,100,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_100_comb_1.pt,2024-12-09 11:45:56,1,100,completed
,4,0.3,1000,0.0,0.005,network_repeat_101_comb_0.pt,2024-12-09 11:45:57,0,101,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_101_comb_1.pt,2024-12-09 11:45:57,1,101,completed
,4,0.3,1000,0.0,0.005,network_repeat_102_comb_0.pt,2024-12-09 11:45:58,0,102,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_102_comb_1.pt,2024-12-09 11:45:58,1,102,completed
,4,0.3,1000,0.0,0.005,network_repeat_103_comb_0.pt,2024-12-09 11:45:59,0,103,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_103_comb_1.pt,2024-12-09 11:45:59,1,103,completed
,4,0.3,1000,0.0,0.005,network_repeat_104_comb_0.pt,2024-12-09 11:45:59,0,104,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_104_comb_1.pt,2024-12-09 11:46:00,1,104,completed
,4,0.3,1000,0.0,0.005,network_repeat_105_comb_0.pt,2024-12-09 11:46:01,0,105,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_105_comb_1.pt,2024-12-09 11:46:01,1,105,completed
,4,0.3,1000,0.0,0.005,network_repeat_106_comb_0.pt,2024-12-09 11:46:01,0,106,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_106_comb_1.pt,2024-12-09 11:46:02,1,106,completed
,4,0.3,1000,0.0,0.005,network_repeat_107_comb_0.pt,2024-12-09 11:46:02,0,107,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_107_comb_1.pt,2024-12-09 11:46:03,1,107,completed
,4,0.3,1000,0.0,0.005,network_repeat_108_comb_0.pt,2024-12-09 11:46:03,0,108,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_108_comb_1.pt,2024-12-09 11:46:03,1,108,completed
,4,0.3,1000,0.0,0.005,network_repeat_109_comb_0.pt,2024-12-09 11:46:04,0,109,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_109_comb_1.pt,2024-12-09 11:46:04,1,109,completed
,4,0.3,1000,0.0,0.005,network_repeat_110_comb_0.pt,2024-12-09 11:46:05,0,110,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_110_comb_1.pt,2024-12-09 11:46:05,1,110,completed
,4,0.3,1000,0.0,0.005,network_repeat_111_comb_0.pt,2024-12-09 11:46:06,0,111,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_111_comb_1.pt,2024-12-09 11:46:06,1,111,completed
,4,0.3,1000,0.0,0.005,network_repeat_112_comb_0.pt,2024-12-09 11:46:07,0,112,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_112_comb_1.pt,2024-12-09 11:46:07,1,112,completed
,4,0.3,1000,0.0,0.005,network_repeat_113_comb_0.pt,2024-12-09 11:46:08,0,113,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_113_comb_1.pt,2024-12-09 11:46:08,1,113,completed
,4,0.3,1000,0.0,0.005,network_repeat_114_comb_0.pt,2024-12-09 11:46:09,0,114,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_114_comb_1.pt,2024-12-09 11:46:09,1,114,completed
,4,0.3,1000,0.0,0.005,network_repeat_115_comb_0.pt,2024-12-09 11:46:09,0,115,completed
17000,4,0.3,1000,0.0,0.005,network_repeat_115_comb_1.pt,2024-12-09 11:46:10,1,115,completed
